Methods,Model,G. Reduce Reuse,Least Magn,UCB1,Tomp. Sampl.
LeCun (MNIST)1,0.98,0.9,0.91,0.98,0.98
LeCun (MNIST)2,0.98,0.91,0.9,0.97,0.97
Conv (Cifar10)1,0.81,0.73,0.73,0.79,0.79
Conv (Cifar10)2,0.81,0.76,0.74,0.8,0.8
Conv (Cifar10)3,0.81,0.76,0.73,0.8,0.8
Conv (Cifar10)4,0.81,0.77,0.73,0.81,0.81
Conv (Cifar100)1,0.43,0.36,0.31,0.4,0.4
Conv (Cifar100)2,0.43,0.4,0.3,0.42,0.43
Conv (Cifar100)3,0.43,0.4,0.35,0.43,0.43
Conv (Cifar100)4,0.43,0.41,0.35,0.43,0.43
Conv (SVHN)1,0.96,0.9,0.89,0.95,0.95
Conv (SVHN)2,0.96,0.91,0.88,0.95,0.95
Conv (SVHN)3,0.96,0.93,0.9,0.96,0.96
Conv (SVHN)4,0.96,0.93,0.9,0.96,0.96
ALexNet(Flower102)1,0.8,0.71,0.68,0.8,0.8
ALexNet(Flower102)2,0.8,0.7,0.68,0.81,0.8
ALexNet(Flower102)3,0.8,0.72,0.69,0.81,0.81
ALexNet(Flower102)4,0.8,0.75,0.69,0.81,0.81
ALexNet(Flower102)5,0.8,0.75,0.7,0.81,0.81
AlexNet(Birds200)1,0.71,0.63,0.6,0.69,0.68
AlexNet(Birds200)2,0.71,0.63,0.61,0.69,0.7
AlexNet(Birds200)3,0.71,0.64,0.61,0.71,0.71
AlexNet(Birds200)4,0.71,0.64,0.62,0.71,0.7
AlexNet(Birds200)5,0.71,0.65,0.62,0.72,0.71
